Nombre visible Agente,AGENTE (OFEI),"CENTRAL (dDEC, dSEGDES, dPRU…)",CEN (Capacidad Efectiva Neta) o Potencia Máxima,"Tipo de central (Hidro, Termo, Filo, Menor)",Total de horas
RIO PIEDRAS,ENERGIA RIO PIEDRAS,MAGUAFRE,7.29,M,161
ALEJANDRÍA,PCH ALEJANDRÍA,M_ALEJANDRIA,15.0,M,184
EPSA,EPSA(PACIFICO),ALBAN,115.0,H,7373
EPSA,EPSA(PACIFICO),ALBAN,120.0,H,7373
EPSA,EPSA(PACIFICO),ALBAN,120.0,H,7373
EPSA,EPSA(PACIFICO),ALBAN,13.0,H,7373
EPSA,EPSA(PACIFICO),ALBAN,13.0,H,7373
EPSA,EPSA(PACIFICO),ALBAN,24.0,H,7373
EPSA,EPSA(PACIFICO),ALBAN,24.0,H,7373
EPSA,EPSA(PACIFICO),ALTOTULUA,9.95,M,136
EPSA,EPSA(PACIFICO),ALTOTULUA,9.95,M,136
EPSA,EPSA(PACIFICO),M_AMAIME,19.2,M,207
EPM,EEPPM,M_AMALFI,0.8,M,23
ISAGEN,ISAGEN,AMOYA,40.0,F,1610
ISAGEN,ISAGEN,AMOYA,40.0,F,1610
CELSIA,CELSIA,AG_ARGOSCTG,9.9,M,1
CELSIA,CELSIA,AG_ELCAIRO,3.5,M,47
EMGESA,EMGESA S.A.,AG_REFICAR,9.9,M,207
ESPROD,ESPROD SAS ESP,AG_UNIBOL,1.1,M,23
EMSA,EMSA(META),AG_YAGUARI,1.6,M,18
EPM,EEPPM,M_AYURA,18.0,M,276
EPSA,EPSA(PACIFICO),BAJOTULUA,9.95,M,260
EPSA,EPSA(PACIFICO),BAJOTULUA,9.95,M,260
LA CASCADA,CASCADA,MBARROSO1,19.9,M,437
EEP,EEP(PEREIRA),MBELMONTE,3.4,M,69
EMGESA,EMGESA S.A.,BETANIA,180.0,H,8372
EMGESA,EMGESA S.A.,BETANIA,180.0,H,8372
EMGESA,EMGESA S.A.,BETANIA,180.0,H,8372
ISAGEN,ISAGEN,MCALDERAS,9.95,M,90
ISAGEN,ISAGEN,MCALDERAS,9.95,M,90
EPSA,EPSA(PACIFICO),CALIMA1,33.0,H,2286
EPSA,EPSA(PACIFICO),CALIMA1,33.0,H,2286
EPSA,EPSA(PACIFICO),CALIMA1,33.0,H,2286
EPSA,EPSA(PACIFICO),CALIMA1,33.0,H,2286
MULCALARCA,MULCALARCA,MCAMP_CALARC,0.7,M,23
EPM,EEPPM,MCAMPEST_EPM,0.87,M,23
EMGESA,EMGESA S.A.,MCANTAYUS,2.16,M,92
EMGESA,EMGESA S.A.,MCANTAYUS,2.16,M,92
EPM,EEPPM,MCARACOLI,2.6,M,69
HIDRALPOR,HIDRALPOR SAS ESP,C_LLERAS,39.0,F,782
HIDRALPOR,HIDRALPOR SAS ESP,C_LLERAS,39.0,F,782
LA CASCADA,CASCADA,MCARUQUIA,9.5,M,92
LA CASCADA,CASCADA,MCASCADA1,2.3,M,46
EPSA,EPSA(PACIFICO),RN_SYUMBO,9.8,M,25
EPM,EEPPM,MCEMENTNARE,4.5,M,115
EMGESA,EMGESA S.A.,MCHARQUITO,19.4,M,437
CHIVOR,AES CHIVOR,CHIVOR,125.0,H,60
CHIVOR,AES CHIVOR,CHIVOR,125.0,H,60
CHIVOR,AES CHIVOR,CHIVOR,125.0,H,60
CHIVOR,AES CHIVOR,CHIVOR,125.0,H,60
